id,game_id,condition,humidity,temp,wind_speed,wind_direction
179,d6b87481-b141-4abb-ad9f-3f838e55cb64,Sunny,40,68,5,SW
180,7db3fde1-50cf-4090-9be6-cdd88328433c,Mostly Cloudy,80,54,5,SW
181,31736657-fe19-4c9e-ba02-9d1ca35c42b1,Clear,27,70,1,NE
182,52cc5aa0-9431-4c0f-9ed5-7ec045ce4476,Mostly Cloudy,9,76,4,W
183,aa43d4e7-94db-4a0e-b129-1ac0742d3577,Clear,39,48,4,NE
184,b3c5483a-d416-4217-83ba-b0c339a2ff5b,Cloudy,68,88,9,S
185,fe80d709-fc94-4d2d-aab7-fe31f30426a3,Partly cloudy,61,85,6,NE
186,c99e7176-04fa-4e4f-8035-ed7d019be3a1,Haze,73,72,2,SSW
187,d0664c51-1740-49ed-b489-afb65cc3bb39,Mostly Cloudy,78,60,6,S
188,4219b12d-412e-431a-9f33-0fb098a4b64a,Cloudy,92,63,12,SSW
189,7f596fcd-969e-489e-9f55-31cc4aa2c543,Mostly Sunny,60,82,12,S
190,6c5ab952-37f8-4944-be3d-847eeb48f2a2,Sunny,49,36,9,WSW
191,a5280c88-6a78-4344-9067-8f4438e346fc,Sunny,33,58,2,NNW
192,7c6fbd50-b651-42b6-9e8d-758b27e88ecc,Sunny,58,57,12,W
193,3cb822b0-82f9-4f8b-92f2-c8dc7066e4fa,Partly Cloudy,28,65,7,N
194,ae56162f-bfaa-444d-8c76-52b860a15fcf,Cloudy,40,42,6,WSW
195,7dc9336a-2d99-45ea-9d4b-0070bc0738d8,Controlled Climate,66,75,7,SW
196,53413ecb-275d-4563-b62f-80e0b5645732,Mostly Cloudy,72,73,7,S
